Nom scientifique;Nom français;Milieu;Type;N° fiches marais;Codes fiches dunes;ID Phytoscope;URL 1;URL 2;URL 3;URL 4;URL 5;URL 6;URL 7;Origine des URL;Correspondance xlsx dunes;Nom dans le xlsx;Illustration (xlsx);Priorité (xlsx)
Cochlearia danica;Cochléaire du Danemark;Les deux;Flore vasculaire;13, 15;2.1a, 2.1b, 2.1d, 2.1e, 2.1f;1798;https://api.tela-botanica.org/img:000078372L.jpg;https://api.tela-botanica.org/img:000279855L.jpg;https://api.tela-botanica.org/img:000016946CRS.jpg;https://api.tela-botanica.org/img:000016947CRS.jpg;https://api.tela-botanica.org/img:000279855CRS.jpg;https://api.tela-botanica.org/img:000065172L.jpg;;"1=CSV marais ; 2=CSV marais ; 3=xlsx dunes ; 4=xlsx dunes ; 5=xlsx dunes ; 6=xlsx dunes";exacte;;à illustrer;2 - Complémentaire
Conium maculatum;Grande ciguë;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000017768L.jpg;https://api.tela-botanica.org/img:000161150L.jpg;https://api.tela-botanica.org/img:000078556CRS.jpg;;;;;;absent du xlsx;;;
Conyza sumatrensis;Vergerette de Sumatra;Dunes;Flore vasculaire;;1.3a;;https://api.tela-botanica.org/img:000043578CRS.jpg;https://api.tela-botanica.org/img:000017459CRS.jpg;https://api.tela-botanica.org/img:000197134L.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Corynephorus canescens;Corynéphore blanchâtre;Dunes;Flore vasculaire;;2.1c;;https://api.tela-botanica.org/img:000184456L.jpg;https://api.tela-botanica.org/img:000301112L.jpg;https://api.tela-botanica.org/img:002200610L.jpg;https://api.tela-botanica.org/img:002200598L.jpg;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes ; 4=xlsx dunes";exacte;;oui;1 - Essentiel
Crassula tillaea;Crassule mousse;Dunes;Flore vasculaire;;2.6b;;https://api.tela-botanica.org/img:000072702L.jpg;https://api.tela-botanica.org/img:000057483L.jpg;https://api.tela-botanica.org/img:002473306CRS.jpg;;;;;;absent du xlsx;;;
Crithmum maritimum;Criste marine;Les deux;Flore vasculaire;13;1.2b, 1.3a;1941;https://api.tela-botanica.org/img:000049636L.jpg;https://api.tela-botanica.org/img:000007164L.jpg;https://api.tela-botanica.org/img:000009087L.jpg;https://api.tela-botanica.org/img:000049636CRS.jpg;https://api.tela-botanica.org/img:000009087CRS.jpg;https://api.tela-botanica.org/img:000188530L.jpg;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes ; 5=xlsx dunes ; 6=xlsx dunes";exacte;;à illustrer;1 - Essentiel
Cynodon dactylon;Chiendent pied-de-poule;Les deux;Flore vasculaire;13;2.1g, 2.5a, 2.5d, 2.6b;2000;https://api.tela-botanica.org/img:000192578L.jpg;https://api.tela-botanica.org/img:000222366L.jpg;https://api.tela-botanica.org/img:000036786L.jpg;https://api.tela-botanica.org/img:000192578CRS.jpg;https://api.tela-botanica.org/img:000023651CRS.jpg;https://api.tela-botanica.org/img:000222366CRS.jpg;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes ; 5=xlsx dunes ; 6=xlsx dunes";exacte;;à illustrer;3 - Contexte
Cynoglossum officinale;Cynoglosse officinale;Dunes;Flore vasculaire;;2.3, 2.5a;;https://api.tela-botanica.org/img:000187043CRS.jpg;https://api.tela-botanica.org/img:002131833CRS.jpg;https://api.tela-botanica.org/img:000187044CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Dactylis glomerata;Dactyle aggloméré;Les deux;Flore vasculaire;17;2.2a, 2.2b, 2.6b;2063;https://api.tela-botanica.org/img:000009516L.jpg;https://api.tela-botanica.org/img:000076736L.jpg;https://api.tela-botanica.org/img:000308214L.jpg;https://api.tela-botanica.org/img:000009517L.jpg;https://api.tela-botanica.org/img:000830649CRS.jpg;https://api.tela-botanica.org/img:000033247CRS.jpg;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais ; 4=xlsx dunes ; 5=xlsx dunes ; 6=xlsx dunes";exacte;;à illustrer;3 - Contexte
Daucus carota subsp. carota;Carotte sauvage;Les deux;Flore vasculaire;17;2.2a;2129;https://api.tela-botanica.org/img:000181076L.jpg;https://api.tela-botanica.org/img:000068931L.jpg;https://api.tela-botanica.org/img:000017390L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Dianthus gallicus;Œillet de France;Dunes;Flore vasculaire;;2.1a, 2.1c, 2.1d, 2.1f;;https://api.tela-botanica.org/img:000043705CRS.jpg;https://api.tela-botanica.org/img:003483615CRS.jpg;https://api.tela-botanica.org/img:000052146CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;1 - Essentiel
Didymodon vinealis;Didymodon vinealis (mousse);Dunes;Bryophyte / lichen;;2.6b;;;;;;;;;;absent du xlsx;;;
Diplotaxis tenuifolia;Diplotaxis vivace;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000017391CRS.jpg;https://api.tela-botanica.org/img:000051639CRS.jpg;https://api.tela-botanica.org/img:000052241CRS.jpg;;;;;;absent du xlsx;;;
Echium vulgare;Vipérine commune;Dunes;Flore vasculaire;;2.5a;;https://api.tela-botanica.org/img:000080336L.jpg;https://api.tela-botanica.org/img:002198940CRS.jpg;https://api.tela-botanica.org/img:000035607CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Elymus farctus;Chiendent des sables;Dunes;Flore vasculaire;;1.1a, 1.1b, 1.1c, 1.2a, 1.2b, 1.3a;;https://api.tela-botanica.org/img:000035857CRS.jpg;https://api.tela-botanica.org/img:000080627CRS.jpg;https://api.tela-botanica.org/img:000080631CRS.jpg;https://api.tela-botanica.org/img:002489378L.jpg;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes ; 4=xlsx dunes";exacte;;à illustrer;1 - Essentiel
Elymus pycnanthus;Chiendent du littoral;Prés salés;Flore vasculaire;4, 8, 11, 13, 14, 15, 17;;2375;https://api.tela-botanica.org/img:000790413L.jpg;https://api.tela-botanica.org/img:000009532L.jpg;https://api.tela-botanica.org/img:000207844L.jpg;;;;;"1=CSV marais ; 2=CSV marais ; 3=CSV marais";absent du xlsx;;;
Elymus x acutus;Chiendent hybride du littoral;Dunes;Flore vasculaire;;2.2a;;;;;;;;;;absent du xlsx;;;
Ephedra distachya subsp. distachya;Éphèdre à deux épis (Raisin de mer);Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1g, 2.1h, 2.6b;;https://api.tela-botanica.org/img:000266636L.jpg;https://api.tela-botanica.org/img:000044653CRS.jpg;https://api.tela-botanica.org/img:000266633L.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";espèce seule (rang différent);Ephedra distachya;à illustrer;1 - Essentiel
Erodium cicutarium;Bec-de-grue commun;Dunes;Flore vasculaire;;2.6b;;https://api.tela-botanica.org/img:000729293L.jpg;https://api.tela-botanica.org/img:002556085CRS.jpg;https://api.tela-botanica.org/img:002463088CRS.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;3 - Contexte
Erodium lebelii;Bec-de-grue de Lebel;Dunes;Flore vasculaire;;2.1a, 2.1b;;https://api.tela-botanica.org/img:002564656CRS.jpg;https://api.tela-botanica.org/img:002564655CRS.jpg;https://api.tela-botanica.org/img:002564651CRS.jpg;https://api.tela-botanica.org/img:000327221CRS.jpg;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes ; 4=xlsx dunes";exacte;;oui;2 - Complémentaire
Eryngium campestre;Panicaut champêtre;Dunes;Flore vasculaire;;2.1a, 2.1b, 2.1c, 2.1d, 2.1e, 2.1f, 2.2a, 2.2b, 2.5c, 2.5d;;https://api.tela-botanica.org/img:000050749CRS.jpg;https://api.tela-botanica.org/img:000012276CRS.jpg;https://api.tela-botanica.org/img:002002925L.jpg;;;;;"1=xlsx dunes ; 2=xlsx dunes ; 3=xlsx dunes";exacte;;à illustrer;2 - Complémentaire
