Nom scientifique;Nom français;Statut (au moins une fiche);Nombre de fiches;N° de fiches (habitats);ID Phytoscope;nom photo 1;nom photo 2;nom photo 3;nom photo 4
Tortella flavovirens;Tortella flavovirens (mousse);freq;1;11;;;;;
Hypnum cupressiforme var. lacunosum;Hypnum cupressiforme (mousse des dunes grises);car/freq;6;12, 13, 14, 16, 18, 19;;;;;
Arenaria serpyllifolia;Sabline à feuilles de serpolet;freq;8;12, 13, 14, 15, 16, 17, 19, 28;;https://api.tela-botanica.org/img:003436428L.jpg;https://api.tela-botanica.org/img:003434852L.jpg;https://api.tela-botanica.org/img:003434853L.jpg;
Hieracium pilosella;Piloselle;freq;3;12, 13, 14;;https://api.tela-botanica.org/img:002431261L.jpg;https://api.tela-botanica.org/img:002431262L.jpg;https://api.tela-botanica.org/img:002431263L.jpg;
Asterolinon linum-stellatum;Astérolinon;freq;3;12, 13, 14;;https://api.tela-botanica.org/img:002558016L.jpg;https://api.tela-botanica.org/img:002558017L.jpg;https://api.tela-botanica.org/img:000305748L.jpg;
Lotus corniculatus subsp. corniculatus;Lotier corniculé;freq;5;12, 13, 14, 18, 19;;https://api.tela-botanica.org/img:003504446L.jpg;https://api.tela-botanica.org/img:003504447L.jpg;https://api.tela-botanica.org/img:003504448L.jpg;
Ranunculus bulbosus subsp. bulbosus;Renoncule bulbeuse;freq;6;12, 14, 18, 19, 24, 25;;https://api.tela-botanica.org/img:002352179L.jpg;https://api.tela-botanica.org/img:002352180L.jpg;https://api.tela-botanica.org/img:002352181L.jpg;
Medicago lupulina;Minette;freq;4;12, 13, 18, 19;;https://api.tela-botanica.org/img:003456956L.jpg;https://api.tela-botanica.org/img:003456957L.jpg;https://api.tela-botanica.org/img:003456958L.jpg;
Ophrys passionis;Ophrys de la Passion;freq;2;12, 14;;https://api.tela-botanica.org/img:002916531L.jpg;https://api.tela-botanica.org/img:002916532L.jpg;https://api.tela-botanica.org/img:002916533L.jpg;
Anthyllis vulneraria;Anthyllide vulnéraire;freq;3;12, 13, 14;;https://api.tela-botanica.org/img:003516540L.jpg;https://api.tela-botanica.org/img:003430973L.jpg;https://api.tela-botanica.org/img:003430974L.jpg;
Brachythecium albicans;Brachythecium albicans (mousse);freq;1;12;;;;;
Aira praecox;Canche printanière;freq;3;12, 14, 28;;https://api.tela-botanica.org/img:002955182L.jpg;https://api.tela-botanica.org/img:002955183L.jpg;https://api.tela-botanica.org/img:002551155L.jpg;
Taraxacum gr. erythrospermum;Pissenlit à graines rouges (groupe);freq;4;12, 14, 18, 19;;https://api.tela-botanica.org/img:003515016L.jpg;https://api.tela-botanica.org/img:003515017L.jpg;https://api.tela-botanica.org/img:003515014L.jpg;
Thesium humifusum;Thésium couché;freq;2;12, 13;;https://api.tela-botanica.org/img:003320528L.jpg;https://api.tela-botanica.org/img:002957018L.jpg;https://api.tela-botanica.org/img:002926178L.jpg;
Geranium sanguineum;Géranium sanguin;car;1;13;;https://api.tela-botanica.org/img:003439231L.jpg;https://api.tela-botanica.org/img:003429991L.jpg;https://api.tela-botanica.org/img:003398886L.jpg;
Pseudoscleropodium purum;Pseudoscleropodium purum (mousse);freq;1;14;;;;;
Plantago coronopus subsp. coronopus;Plantain corne-de-cerf;car/freq;4;15, 17, 18, 28;;https://api.tela-botanica.org/img:003493498L.jpg;https://api.tela-botanica.org/img:003493499L.jpg;https://api.tela-botanica.org/img:003426626L.jpg;
Bromus hordeaceus subsp. hordeaceus;Brome mou;freq;6;15, 16, 18, 19, 24, 25;;https://api.tela-botanica.org/img:003125561L.jpg;https://api.tela-botanica.org/img:003125562L.jpg;https://api.tela-botanica.org/img:000769036L.jpg;
Bellis perennis subsp. perennis;Pâquerette;freq;5;15, 18, 19, 25, 28;;https://api.tela-botanica.org/img:003432184L.jpg;https://api.tela-botanica.org/img:003431877L.jpg;https://api.tela-botanica.org/img:003431878L.jpg;
Juncus bufonius;Jonc des crapauds;freq;1;15;;https://api.tela-botanica.org/img:003135230L.jpg;https://api.tela-botanica.org/img:003135231L.jpg;https://api.tela-botanica.org/img:003135228L.jpg;
Poa annua;Pâturin annuel;car;1;15;;https://api.tela-botanica.org/img:003432719L.jpg;https://api.tela-botanica.org/img:003432720L.jpg;https://api.tela-botanica.org/img:003432721L.jpg;
Sagina apetala;Sagine apétale;car;2;15, 28;;https://api.tela-botanica.org/img:003375570L.jpg;https://api.tela-botanica.org/img:003375571L.jpg;https://api.tela-botanica.org/img:003371657L.jpg;
Anagallis arvensis;Mouron rouge;freq;3;15, 23, 28;;https://api.tela-botanica.org/img:003292005L.jpg;https://api.tela-botanica.org/img:003292006L.jpg;https://api.tela-botanica.org/img:002564715L.jpg;
Ptychostomum imbricatulum;Ptychostomum imbricatulum (mousse);freq;1;15;;;;;
Trifolium suffocatum;Trèfle étouffé;freq;2;15, 28;;https://api.tela-botanica.org/img:003468059L.jpg;https://api.tela-botanica.org/img:003468060L.jpg;https://api.tela-botanica.org/img:003468061L.jpg;
Parentucellia latifolia;Parentucelle à larges feuilles;freq;2;15, 28;;https://api.tela-botanica.org/img:003412773L.jpg;https://api.tela-botanica.org/img:003196416L.jpg;https://api.tela-botanica.org/img:003169007L.jpg;
Lagurus ovatus;Lagure ovale (Queue-de-lièvre);car/freq;3;16, 24, 25;;https://api.tela-botanica.org/img:002918753L.jpg;https://api.tela-botanica.org/img:002918754L.jpg;https://api.tela-botanica.org/img:002577996L.jpg;
Bromus diandrus subsp. diandrus;Brome à deux étamines;car;2;16, 25;;https://api.tela-botanica.org/img:003179235L.jpg;https://api.tela-botanica.org/img:003179233L.jpg;;
Bromus diandrus subsp. maximus;Grand brome des sables;car;2;16, 24;;https://api.tela-botanica.org/img:003125552L.jpg;https://api.tela-botanica.org/img:003125551L.jpg;https://api.tela-botanica.org/img:002342720L.jpg;
Glaucium flavum;Glaucière jaune (Pavot cornu);car;1;17;;https://api.tela-botanica.org/img:003506507L.jpg;https://api.tela-botanica.org/img:003486719L.jpg;https://api.tela-botanica.org/img:003441531L.jpg;
Carduus nutans subsp. nutans;Chardon penché;car;1;17;;https://api.tela-botanica.org/img:003203089L.jpg;https://api.tela-botanica.org/img:003203090L.jpg;https://api.tela-botanica.org/img:003115487L.jpg;
Solanum nigrum;Morelle noire;freq;1;17;;https://api.tela-botanica.org/img:003497998L.jpg;https://api.tela-botanica.org/img:003497999L.jpg;https://api.tela-botanica.org/img:003498000L.jpg;
Poa pratensis;Pâturin des prés;freq;2;18, 19;;https://api.tela-botanica.org/img:003471457L.jpg;https://api.tela-botanica.org/img:003415379L.jpg;https://api.tela-botanica.org/img:003415380L.jpg;
Potentilla reptans;Potentille rampante;freq;4;18, 19, 23, 26;;https://api.tela-botanica.org/img:003523047L.jpg;https://api.tela-botanica.org/img:003523048L.jpg;https://api.tela-botanica.org/img:003518093L.jpg;
Geranium columbinum;Géranium colombin;freq;2;18, 19;;https://api.tela-botanica.org/img:003471555L.jpg;https://api.tela-botanica.org/img:003471556L.jpg;https://api.tela-botanica.org/img:003471557L.jpg;
Arrhenatherum elatius s.l.;Fromental;freq;2;18, 19;;https://api.tela-botanica.org/img:003457673L.jpg;https://api.tela-botanica.org/img:003457674L.jpg;https://api.tela-botanica.org/img:003434922L.jpg;
Elymus x acutus;Chiendent hybride du littoral;car;1;18;;;;;
Vicia sativa subsp. segetalis;Vesce des moissons;freq;1;18;;https://api.tela-botanica.org/img:002481472L.jpg;https://api.tela-botanica.org/img:002481473L.jpg;https://api.tela-botanica.org/img:000022303L.jpg;
Prunus spinosa;Prunellier;freq/car;3;18, 19, 20;;https://api.tela-botanica.org/img:003477826L.jpg;https://api.tela-botanica.org/img:003477827L.jpg;https://api.tela-botanica.org/img:003477828L.jpg;
